time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
18/03/2021 10:15:02,34.2,19.1,13.5,15.7,15.4,14.2
18/03/2021 10:15:08,38.1,20,13.7,14.5,14.5,14.2
18/03/2021 10:15:14,38.4,16.9,13.2,15.8,15.8,14.3
18/03/2021 10:15:20,41.8,21.8,13.7,15.8,14.1,13.1
18/03/2021 10:15:26,28.6,18.5,12.7,13.8,13.8,13.1
18/03/2021 10:15:32,33.8,21.9,13.9,15,14.6,13.1
18/03/2021 10:15:38,34.4,19.2,12.6,14,14,13.6
18/03/2021 10:15:44,34.1,19.3,12.8,14.6,14.6,13.8
18/03/2021 10:15:50,31.8,17.6,13.9,14.2,14.1,13
18/03/2021 10:15:56,47.5,19.2,13.7,15.6,15.3,13.2
18/03/2021 10:16:02,32.4,20.3,13.4,16.3,15.7,13.3
18/03/2021 10:16:08,31.9,18.3,13.6,13.8,13.7,13.1
18/03/2021 10:16:14,31.2,21.9,13.3,12.8,12.8,12.7
18/03/2021 10:16:20,33.8,21.8,13.5,15.9,15.8,13.7
18/03/2021 10:16:26,33.4,18.5,12.9,14,14,13.4
18/03/2021 10:16:32,28.5,17,12.9,14.1,13.9,13
18/03/2021 10:16:38,36,18.1,12.8,13.2,13.2,13
18/03/2021 10:16:44,48.5,19.4,12.9,13.7,13.7,13
18/03/2021 10:16:50,31.6,16.8,12.2,13.9,13.8,13.3
18/03/2021 10:16:56,40.1,17.9,12.9,14.1,14.1,13.1
18/03/2021 10:17:02,23.6,16.6,12.7,14.1,14.1,13.5
18/03/2021 10:17:08,32.9,16.7,12.3,13.8,13.8,13.3
18/03/2021 10:17:14,23.9,18.1,13,12.7,12.7,12.5
18/03/2021 10:17:20,24.2,16.3,12.5,14.8,14.6,13.4
18/03/2021 10:17:26,26.6,16.7,12.7,15.7,15.3,13.1
18/03/2021 10:17:32,35.9,18.2,12.4,14.7,14.3,13.3
18/03/2021 10:17:38,38.7,15.2,12,14.3,14.3,13.1
18/03/2021 10:17:44,22.8,16.6,12.2,15.2,14,13.2
18/03/2021 10:17:50,29.8,15.5,10.4,13.8,13.8,13.2
18/03/2021 10:17:56,21.8,16.2,11.9,13.6,13.4,12.4
18/03/2021 10:18:02,18.1,14.7,11.6,14.5,14.3,13.3
18/03/2021 10:18:08,18.3,14,11.9,15.2,14.7,12.7
18/03/2021 10:18:14,29.9,16,12.5,13.6,13.4,12.5
18/03/2021 10:18:20,21.7,15.1,11.9,12.7,12.7,12.5
18/03/2021 10:18:26,24.7,13.3,11.2,13.9,13.7,12.3
18/03/2021 10:18:32,31.2,15.8,11.5,14.2,14.1,12.6
18/03/2021 10:18:38,25.3,18.2,13,11.8,11.8,11.6
18/03/2021 10:18:44,22,16,12,12.7,12.7,12.3
18/03/2021 10:18:50,23.8,15.6,11.8,13.8,13.8,13.2
18/03/2021 10:18:56,34.7,16.6,12.4,13.9,13.9,13.1
18/03/2021 10:19:02,21.7,13.2,11.6,13.4,13.4,12.7
18/03/2021 10:19:08,22.4,14.4,11.9,13.8,13.6,12.5
18/03/2021 10:19:14,21,13.1,11.4,14.4,14.1,12.9
18/03/2021 10:19:20,25.4,15.1,11.9,14,13.8,13.2
18/03/2021 10:19:26,18.6,14.4,11.5,12.4,12.4,12.3
18/03/2021 10:19:32,27.9,12.9,11.4,13.3,13.3,13.2
18/03/2021 10:19:38,21.4,16.2,11.7,12.9,12.9,12.6
18/03/2021 10:19:44,22.3,14.4,11.6,12.9,12.9,12.8
18/03/2021 10:19:50,19.5,13.9,11.4,13.5,13.5,13
18/03/2021 10:19:56,24.5,13.7,11.1,13.7,13.7,12.7
18/03/2021 10:20:02,20.6,13,11.8,13.9,13.7,12.3
18/03/2021 10:20:08,17.6,14.6,11.3,12.7,12.7,12.3
18/03/2021 10:20:14,20.7,15.5,11.9,13,13,12.1
18/03/2021 10:20:20,19.7,15,11.9,13.4,13.3,12.4
18/03/2021 10:20:26,19.1,15.2,11.8,12.7,12.7,12.6
18/03/2021 10:20:32,27.1,14.6,11.7,13.9,13.8,12.8
18/03/2021 10:20:38,22.8,15.4,11.2,13.8,13.7,12.8
18/03/2021 10:20:44,21,15,11.8,12.5,12.5,12.1
18/03/2021 10:20:50,25.7,14.9,12,12.1,12.1,12
18/03/2021 10:20:56,25.6,17.1,11.8,12.3,12.3,12.2
18/03/2021 10:21:02,38.5,15.4,11.9,13.4,13.4,12.5
18/03/2021 10:21:08,28.1,14.8,11.3,12.3,12.3,12
18/03/2021 10:21:14,29.6,13.7,10.9,12.9,12.8,11.8
18/03/2021 10:21:20,23.5,16.7,11.9,13.3,13.3,12.8
18/03/2021 10:21:26,24,16,12.5,13.9,13.5,12.4
18/03/2021 10:21:32,22.4,13,12,14.2,13.7,11.9
18/03/2021 10:21:38,23.1,16.1,11.7,13.8,13.8,13.2
18/03/2021 10:21:44,23.7,13.4,11.3,12.9,12.7,11.9
18/03/2021 10:21:50,17.5,13.3,12.2,13,13,11.8
18/03/2021 10:21:56,18.8,13.1,11.4,12.4,12.4,11.6
18/03/2021 10:22:02,20.5,12,10.9,12.2,12.2,12.1
18/03/2021 10:22:08,23.8,15.2,11.1,12.4,12.4,12.1
18/03/2021 10:22:14,34.9,16.5,11.3,14,13.1,12.1
18/03/2021 10:22:20,38.7,19.2,11.1,13.9,13.2,11.8
18/03/2021 10:22:26,36,14.7,11.9,13,12.6,11.8
18/03/2021 10:22:32,26.2,16.7,11.7,14.3,14,11.9
18/03/2021 10:22:38,39.5,17.3,11.2,12.2,12.1,11.5
18/03/2021 10:22:44,50.8,19.8,11.4,11.9,11.9,11.4
18/03/2021 10:22:50,61.9,17.3,11.4,12.8,12.5,11.5
18/03/2021 10:22:56,40.3,14.9,10.8,11.9,11.9,11.7
18/03/2021 10:23:02,51.8,12.5,10.5,11.7,11.7,11.3
