time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
2021-03-16 14:00,24.3,16.9,9.6,12.2,11.6,8.9
2021-03-16 14:00,24.8,16.8,9.4,12.7,11.4,8.8
2021-03-16 14:00,22.2,14.6,9.4,10.9,10.2,8.9
2021-03-16 14:00,27.3,19,9.3,10.6,10.3,8.7
2021-03-16 14:00,30.8,16.5,9.6,11.7,11.3,8.8
2021-03-16 14:00,23.4,15.8,9.4,12.5,11.7,8.5
2021-03-16 14:00,24.7,14.9,9.3,11.8,10.4,8
2021-03-16 14:00,23.5,17.6,9.4,19.7,12.1,8.7
2021-03-16 14:00,18.6,14.9,8.9,12.1,11.7,8.7
2021-03-16 14:00,19.4,15,9.4,12.7,12.2,8.7
2021-03-16 14:01,18.7,15.1,9.3,11.2,10.1,8.2
2021-03-16 14:01,36,14.6,9.4,9,9,8.4
2021-03-16 14:01,21.4,14.4,9.6,12.6,12,8.8
2021-03-16 14:01,18.5,14,8.2,10.5,10.2,8.1
2021-03-16 14:01,18.6,14.9,9.2,11.8,11.2,8.7
2021-03-16 14:01,19.8,12.3,9,9.9,9.9,8.4
2021-03-16 14:01,25.8,17.1,10.1,10.2,10,8.8
2021-03-16 14:01,27.7,16.6,9.8,11.4,11,8.6
2021-03-16 14:01,24.8,17.1,9.4,11.3,10.7,8.2
2021-03-16 14:01,26.5,16.7,9.7,11.2,10,8.1
2021-03-16 14:02,19.2,14.7,8.3,10.6,10,8.1
2021-03-16 14:02,21.7,11.9,8.6,8.8,8.8,7.7
2021-03-16 14:02,30.7,15.6,8.8,9.9,8.9,7.8
2021-03-16 14:02,24.2,15.2,7.9,9.1,9.1,8.3
2021-03-16 14:02,17.3,12.6,8.3,8.8,8.8,8.2
2021-03-16 14:02,21.6,11.7,8.3,9.5,9.1,7.8
2021-03-16 14:02,21.4,11,8.7,10.1,9.6,8.4
2021-03-16 14:02,24.9,14.1,7.9,9.1,9.1,8
2021-03-16 14:02,20.6,11.9,8.1,9.4,9.2,7.6
2021-03-16 14:02,17,13.4,7.5,9.5,9.1,7.7
2021-03-16 14:03,14.3,13.3,8.2,8.3,8.3,7.7
2021-03-16 14:03,16.5,13.1,8,9.5,9.4,7.8
2021-03-16 14:03,24,13.8,7.5,10.1,9.8,7.8
2021-03-16 14:03,17.3,13.3,8.2,10.5,10.1,7.7
2021-03-16 14:03,19.9,14.5,8,8.7,8.7,7.8
2021-03-16 14:03,18.4,12.6,7.3,8.7,8.5,7.7
2021-03-16 14:03,19.7,14.9,7.7,7.8,7.8,7.6
2021-03-16 14:03,21.7,12,8,9,8.9,7.5
2021-03-16 14:03,19.5,11.4,7.5,8.9,8.9,7.9
2021-03-16 14:03,17.6,12,7.5,7.5,7.5,6.9
2021-03-16 14:04,21.8,11.6,7.7,8.9,8.5,7
2021-03-16 14:04,22.7,10.9,7.8,10.2,9.8,7.7
2021-03-16 14:04,18,11.6,7.7,9,8.8,7.3
2021-03-16 14:04,17.7,12.4,7.4,7.9,7.9,7.3
2021-03-16 14:04,22.4,15.5,7.1,8.4,8,6.8
2021-03-16 14:04,17.9,13.6,7.5,8,8,7.3
2021-03-16 14:04,13.8,11.4,7.2,8,8,7.1
2021-03-16 14:04,18.3,11.5,7,9.2,9,7.6
2021-03-16 14:04,20.7,12.4,7.2,8.8,8.3,7.2
2021-03-16 14:04,14.8,12.4,7,8.2,7.9,6.9
2021-03-16 14:05,19.8,11.6,7,8.4,8,7.2
2021-03-16 14:05,17.8,12.9,7.3,6.9,6.9,6.8
2021-03-16 14:05,17.5,11.1,7.4,8.7,8.7,7.6
2021-03-16 14:05,22.3,11.3,7.2,7.3,7.3,7.1
2021-03-16 14:05,14.8,11.8,7.4,7.2,7.2,6.7
2021-03-16 14:05,17.3,11.6,6.8,12.4,7.8,7.1
2021-03-16 14:05,17.1,10,6.9,8.5,7.9,6.7
2021-03-16 14:05,15.7,10.7,6.7,8,7.8,6.8
2021-03-16 14:05,20.7,14.8,6.7,7.3,7.2,6.4
2021-03-16 14:05,15.3,11.5,6.3,8.2,8,6.9
2021-03-16 14:06,16.4,10.5,6.7,7.4,7.4,7
2021-03-16 14:06,20.4,10.6,6.9,6.5,6.5,6.4
2021-03-16 14:06,17.9,8.5,6.3,8.4,8,6.7
