time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
2021-03-18 13:35,61.5,36.2,30.6,24.5,24.5,24
2021-03-18 13:35,50.4,37.6,30.7,25.7,25.3,24
2021-03-18 13:35,38.6,33.8,30.6,26,26,24.9
2021-03-18 13:35,46.9,37.8,30.1,28,26.9,25.1
2021-03-18 13:35,51.5,32.4,27.4,24.3,24.3,23.9
2021-03-18 13:35,32.2,29.9,27.2,25.5,25.2,24
2021-03-18 13:35,36,31.5,27.5,25.4,25.4,24.8
2021-03-18 13:35,47.4,38.3,28.9,25.5,25.4,23.5
2021-03-18 13:35,36.1,32.4,28.8,24.8,24.7,24.1
2021-03-18 13:35,46.6,31.6,28.3,26.3,26.1,24.4
2021-03-18 13:36,34.5,30.9,27.6,26.5,26.2,24.5
2021-03-18 13:36,36.9,33.5,28.4,24.5,24.3,23.1
2021-03-18 13:36,36.9,31,28.5,24.6,24.4,23.3
2021-03-18 13:36,40.4,30.2,26.9,25.3,25.3,24.6
2021-03-18 13:36,42.8,30,26,25.6,25.3,23.3
2021-03-18 13:36,38.3,30.7,27.3,23.9,23.9,23.1
2021-03-18 13:36,42.8,30.7,26.5,24.6,24.5,23.3
2021-03-18 13:36,36.4,30.9,24.6,24.2,24.1,23.1
2021-03-18 13:36,31.3,28.4,25.6,23.8,23.6,22.7
2021-03-18 13:36,32,30.3,25.1,25.1,25.1,24.3
2021-03-18 13:37,30.4,28.6,24.3,25.4,25.1,23.3
2021-03-18 13:37,30.6,29.2,24.8,24.6,24.4,23.3
2021-03-18 13:37,34.7,31.8,26.2,23.5,23.5,22.8
2021-03-18 13:37,36.2,29.6,24.6,25.7,25.1,23
2021-03-18 13:37,46.3,29,26.6,23.2,23.2,22.9
2021-03-18 13:37,37.2,29.5,26.5,24,24,23
2021-03-18 13:37,38.6,33.3,27,22.8,22.4,21.7
2021-03-18 13:37,40.2,32.4,27.5,22.6,22.6,22.4
2021-03-18 13:37,32.9,28.7,25.2,23.9,23.5,22.2
2021-03-18 13:37,38.1,28.6,25.1,23,23,21.8
2021-03-18 13:38,31.3,27.7,24.1,22.3,22.3,22.1
2021-03-18 13:38,31.2,30.3,26.2,22.7,22.7,21.6
2021-03-18 13:38,33.4,31.1,24.9,23,22.8,21.8
2021-03-18 13:38,38.7,27.4,25.1,22.2,22.2,21.9
2021-03-18 13:38,29,27.7,25,21.6,21.6,21.2
2021-03-18 13:38,30.5,28.2,25,23.4,23,21.6
2021-03-18 13:38,27.9,24.4,23.2,22.9,22.8,21.7
2021-03-18 13:38,28.2,25.6,22.3,22,21.9,21.3
2021-03-18 13:38,34.1,26.7,23.2,22.4,22.4,21.3
2021-03-18 13:38,31.3,27.7,23,22.6,22.6,22
2021-03-18 13:39,28.3,24.7,22.9,22.4,22.3,20.9
2021-03-18 13:39,27,24.2,22.5,22.6,22.6,21.7
2021-03-18 13:39,28.9,24.9,22.4,22.3,22.3,21.8
2021-03-18 13:39,24.9,22.3,21.5,22.2,22.1,20.7
2021-03-18 13:39,29.6,26,22.3,21.3,21.3,20.7
2021-03-18 13:39,27.2,25.9,22.6,21,21,20.9
2021-03-18 13:39,40.4,22.2,21.4,20.9,20.9,20.7
2021-03-18 13:39,27.1,25,23,20.8,20.8,20.2
2021-03-18 13:39,29.9,27.8,23.2,21.9,21.8,20.7
2021-03-18 13:39,29.7,25.8,22.4,21.1,21.1,20.7
2021-03-18 13:40,29.9,27.5,21.9,20.7,20.7,20.1
2021-03-18 13:40,29.6,25.6,22.1,21.3,21.2,20.1
2021-03-18 13:40,26.2,21.8,20.1,20.5,20.5,20.4
2021-03-18 13:40,25.4,24.7,22.1,22.5,21.5,20.4
2021-03-18 13:40,29.8,26.3,23,20.8,20.7,19.4
2021-03-18 13:40,30,25.7,22.3,21.1,20.9,19.9
2021-03-18 13:40,38.3,27,22.9,20.1,19.9,19
2021-03-18 13:40,29.1,24.6,21.5,20.5,20.5,20.1
2021-03-18 13:40,27.5,25,21.6,21.2,21,19.6
2021-03-18 13:40,31.2,26.9,23.7,20.6,20.6,19.4
2021-03-18 13:41,28,25.2,22.9,20.3,20.2,19.5
2021-03-18 13:41,49.6,22.5,21.5,20.5,20.3,19
2021-03-18 13:41,23.3,21.9,20.1,20.1,20.1,20
2021-03-18 13:41,31.6,26.6,21.4,19.1,19.1,19
2021-03-18 13:41,26.9,23.6,22,19.9,19.9,19.3
2021-03-18 13:41,29.3,25.2,22.3,20,20,19.1
2021-03-18 13:41,28.9,25,22.4,19.7,19.5,18.4
2021-03-18 13:41,34.1,25.5,23,19.6,19.6,19.1
2021-03-18 13:41,33.1,25.3,22.7,21,20.5,19.2
2021-03-18 13:41,27.1,23.6,22,20,19.9,18.8
2021-03-18 13:42,30.8,26.9,23,19.3,19.3,18.9
2021-03-18 13:42,32.9,25.7,22,19.2,19.2,18.9
2021-03-18 13:42,36.4,23.7,21.6,19.3,19.3,18.7
2021-03-18 13:42,33.3,23.8,21.6,19.8,19.8,19
2021-03-18 13:42,32.2,25.7,22,20.6,20.4,19
2021-03-18 13:42,27.4,23.6,22,20.4,20.1,18.8
2021-03-18 13:42,27,23.4,20.6,19.1,19.1,18.6
2021-03-18 13:42,25.1,23,19.6,19.2,19.2,18.2
2021-03-18 13:42,25.8,23.3,20.9,20.3,20.1,18.5
2021-03-18 13:42,30.8,22.3,20.2,19.8,19.8,18.8
2021-03-18 13:43,32.3,23.3,20.4,18.4,18.4,18.3
2021-03-18 13:43,26.2,23.2,20.7,18.9,18.9,17.9
2021-03-18 13:43,27.4,23.2,20.6,18.6,18.4,17.9
2021-03-18 13:43,24.5,20.9,18.6,18.8,18.7,17.9
