time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
2021-03-16 10:41,37.9,21.2,8.6,7.1,7,6.3
2021-03-16 10:41,33.1,15,8.3,7.8,7.3,6.4
2021-03-16 10:41,40.3,17.3,7.8,6.6,6.6,6.5
2021-03-16 10:41,58.8,16.8,7.9,7.9,7.8,6.9
2021-03-16 10:41,16.8,11.2,7.6,7.6,7.5,6.5
2021-03-16 10:41,26.3,13.3,8.1,7.6,7.2,6.2
2021-03-16 10:41,28.4,14.3,7.6,7.9,7.8,6.6
2021-03-16 10:41,46.4,13.9,8.1,6,6,5.9
2021-03-16 10:41,21.6,12.2,7.8,8.4,7.3,6.5
2021-03-16 10:41,29.5,12.5,7.7,8.1,7.8,6.3
2021-03-16 10:42,26.8,15,7.8,6.2,6.2,6.1
2021-03-16 10:42,27.9,14.2,7.5,6.6,6.6,6.5
2021-03-16 10:42,33.5,15.5,7.7,7.7,7.4,6
2021-03-16 10:42,33.8,13,7.5,9.1,8.1,6.4
2021-03-16 10:42,24.9,15,7.5,8.1,7.7,5.9
2021-03-16 10:42,25.1,15,7.5,6.5,6.5,6.3
2021-03-16 10:42,27.9,14.4,8,8.3,8.2,6.2
2021-03-16 10:42,39.2,15.1,7.6,7.7,7.2,6.1
2021-03-16 10:42,25.9,14.2,7.8,7.9,7.6,6.1
2021-03-16 10:42,21.5,11.9,7.6,6.2,6.2,5.9
2021-03-16 10:43,34.6,12.9,7.9,7,6.8,5.9
2021-03-16 10:43,27,11.9,7.2,7.1,7,6.1
2021-03-16 10:43,37.1,20.2,7.8,7.7,7.5,6
2021-03-16 10:43,38.9,9.4,7,6.6,6.6,6.1
2021-03-16 10:43,25,11.9,6.4,7.1,6.9,6
2021-03-16 10:43,26.6,11.6,6.6,7.3,7.2,6.3
2021-03-16 10:43,24.7,11.2,6.6,6.9,6.8,5.6
2021-03-16 10:43,25.8,11.5,6.7,7.7,7.5,6
2021-03-16 10:43,16.4,9.2,6,6.7,6.7,6
2021-03-16 10:43,22.1,13.8,7,7.1,6.9,5.9
2021-03-16 10:44,32.5,10.8,6.2,6.7,6.5,5.9
2021-03-16 10:44,19.3,10.4,6.4,6.4,6.4,5.6
2021-03-16 10:44,24.6,10.9,6.3,6.1,6.1,5.6
2021-03-16 10:44,20.6,10.1,5.8,5.6,5.6,5.3
2021-03-16 10:44,17.6,12.7,6.6,6.5,6.5,5.8
2021-03-16 10:44,22,9.2,6.7,6.2,6.2,5.6
2021-03-16 10:44,18.8,11.9,6.7,7,6.6,5.7
2021-03-16 10:44,17.9,12.2,6.7,5.8,5.8,5.5
2021-03-16 10:44,20.5,8.4,6.1,5.8,5.8,5.6
2021-03-16 10:44,20.8,12,6.5,5.9,5.9,5.7
2021-03-16 10:45,28.4,10.6,6.3,7,6.7,5.9
2021-03-16 10:45,18.6,11.4,6.2,5.6,5.6,5.4
2021-03-16 10:45,17.8,10.6,6.7,5.7,5.7,5.6
2021-03-16 10:45,29.5,9.7,6.4,5.6,5.6,5.3
2021-03-16 10:45,17.4,11.7,6.2,8.1,7.2,5.6
2021-03-16 10:45,15.1,8.3,6.2,5.8,5.8,5.6
2021-03-16 10:45,21.7,11.2,6.3,5.9,5.9,5.7
2021-03-16 10:45,18.2,10.6,6.4,6.7,6.6,5.4
2021-03-16 10:45,13,9.1,6.4,6.8,6.6,5.3
2021-03-16 10:45,15.2,10.4,6.5,5.3,5.3,5.3
2021-03-16 10:46,23.7,13.1,6.5,7,6.8,5.5
2021-03-16 10:46,22.2,10,6.3,6.6,6.5,5.5
2021-03-16 10:46,30.1,10,6.4,6.7,6.4,5.3
2021-03-16 10:46,21.7,11.9,6.4,5.4,5.4,5.2
2021-03-16 10:46,20.5,12.9,6.7,6.3,6.2,5.2
2021-03-16 10:46,23.8,8.2,6,5.6,5.6,5.2
2021-03-16 10:46,34.3,12.9,6.4,5.2,5.2,5.1
2021-03-16 10:46,12.1,9.9,6.2,6.3,6.3,5.3
2021-03-16 10:46,20.3,9.5,6.3,5.5,5.5,5.1
2021-03-16 10:46,20.6,9.2,5.7,6.2,6.1,5.1
2021-03-16 10:47,17,10.5,6.4,5.3,5.3,5.1
2021-03-16 10:47,12.8,7.1,6.2,6,6,5.3
2021-03-16 10:47,25.1,7.4,5.5,5.5,5.5,5.3
2021-03-16 10:47,13,7.5,5.5,7,6.5,5.3
2021-03-16 10:47,12.7,7,5.4,6.9,6.7,5.4
2021-03-16 10:47,17.8,9.5,5.6,6.5,6.5,5.3
2021-03-16 10:47,17.9,11.6,6.2,5.3,5.3,5.2
2021-03-16 10:47,19.3,11.9,5.8,5.7,5.7,5
2021-03-16 10:47,14.4,7,5.3,5.4,5.4,4.7
2021-03-16 10:47,11.3,7.1,5.4,5.6,5.6,5.2
2021-03-16 10:48,14,8.3,5.4,6.6,6.4,5.1
2021-03-16 10:48,17.7,9.4,5.3,5.3,5.3,5.1
2021-03-16 10:48,17.6,6.5,5.5,5.5,5.5,4.9
2021-03-16 10:48,21,8.5,5.2,6.8,6,5.2
2021-03-16 10:48,15.7,9.3,5.5,8.5,7.5,5.2
2021-03-16 10:48,12.6,7.8,5.5,6.4,6.2,5
2021-03-16 10:48,14.5,8.8,5.4,5.8,5.8,4.9
2021-03-16 10:48,14.6,10.3,5.5,5.6,5.6,4.9
2021-03-16 10:48,22.2,10.9,5.2,5.2,5.2,4.9
2021-03-16 10:48,16.1,11.3,5.4,6.6,6.3,5.4
2021-03-16 10:49,21.2,7.8,5.2,6.7,6.3,5.1
2021-03-16 10:49,14.5,9.6,5.4,6.8,6.7,5
2021-03-16 10:49,11.1,8.2,5.6,6.1,6,4.8
2021-03-16 10:49,13.1,9.6,5.4,5.6,5.5,5
2021-03-16 10:49,11.3,7.8,5.1,6.3,6.2,4.9
2021-03-16 10:49,11.8,8.4,5.5,5.5,5.5,4.8
2021-03-16 10:49,19.7,13.7,5.2,4.9,4.9,4.8
2021-03-16 10:49,19.3,9.7,5.3,5.4,5.3,4.6
2021-03-16 10:49,28.3,10.1,5.8,4.7,4.7,4.5
2021-03-16 10:49,24.4,10.3,5.2,7.4,7,5
2021-03-16 10:50,18.5,6.5,5.5,4.8,4.8,4.5
2021-03-16 10:50,17.1,7.1,5,6.8,5.8,5
2021-03-16 10:50,23.8,11.1,5.3,5.1,5.1,5
2021-03-16 10:50,15.8,10.1,5.6,4.8,4.8,4.7
2021-03-16 10:50,18.3,8.1,5.4,7.7,5.7,4.9
2021-03-16 10:50,16.2,8.7,5.4,6.1,5.9,5
2021-03-16 10:50,34.8,8.9,5.4,4.6,4.6,4.5
2021-03-16 10:50,17.9,7.7,5.1,4.8,4.8,4.7
2021-03-16 10:50,26,9,5.5,5.5,5.5,5.1
2021-03-16 10:50,29.9,10.8,5.2,7.1,6.8,4.8
