time2,OAPM10,OAPM2.5,OAPM1
3/17/2021 2:30:44 PM,108.9,36.6,19.1
3/17/2021 2:31:44 PM,79.7,31.8,16.9
3/17/2021 2:32:44 PM,95.2,32.9,16.5
3/17/2021 2:33:44 PM,100.2,35.6,17.3
3/17/2021 2:34:44 PM,103.7,35,18.9
3/17/2021 2:35:44 PM,76.4,30.9,15.9
3/17/2021 2:36:44 PM,83.7,31.8,15.9
3/17/2021 2:37:44 PM,78.6,29.1,14.7
3/17/2021 2:38:44 PM,77.1,30,14.9
3/17/2021 2:39:44 PM,106,33.8,16.6
3/17/2021 2:40:44 PM,91,30.1,16.1
3/17/2021 2:41:44 PM,105.9,36.4,18.4
3/17/2021 2:42:44 PM,86.1,29.3,15.1
3/17/2021 2:43:44 PM,79.9,29.7,15.3
3/17/2021 2:44:44 PM,84.8,30.9,16.7
3/17/2021 2:45:44 PM,70.9,24.4,13.8
3/17/2021 2:46:44 PM,80.5,28.1,14.3
3/17/2021 2:47:44 PM,70.9,25.3,13.1
3/17/2021 2:48:44 PM,63.6,26.8,12.6
3/17/2021 2:49:44 PM,65.4,23.1,11.8
3/17/2021 2:50:44 PM,72.6,25.2,12.9
3/17/2021 2:51:44 PM,73.1,25.8,12.6
3/17/2021 2:52:44 PM,68.8,23.6,12.2
3/17/2021 2:53:44 PM,70.7,23.7,12.4
3/17/2021 2:54:44 PM,73.9,26,12.1
3/17/2021 2:55:44 PM,60.7,23.1,11.2
3/17/2021 2:56:44 PM,53.6,21.9,10.8
3/17/2021 2:57:44 PM,63,24.9,11.6
3/17/2021 2:58:44 PM,77.9,25,12
3/17/2021 2:59:44 PM,75.9,26,11.4
3/17/2021 3:00:44 PM,78.4,22.7,11.5
3/17/2021 3:01:44 PM,72.2,22.7,11.2
3/17/2021 3:02:44 PM,70.8,23.5,11
3/17/2021 3:03:44 PM,57.1,21.2,10.7
3/17/2021 3:04:44 PM,63.1,24.9,11.5
3/17/2021 3:05:44 PM,68.7,23.3,10.9
3/17/2021 3:06:44 PM,58.4,21.1,9.8
3/17/2021 3:07:44 PM,65.6,21.8,10.7
3/17/2021 3:08:44 PM,70.1,23.9,11.1
3/17/2021 3:09:44 PM,73.9,24.1,11.4
3/17/2021 3:10:44 PM,65.1,22.1,10.3
3/17/2021 3:11:44 PM,64.6,22.5,10.1
3/17/2021 3:12:44 PM,67.7,23.8,11.5
3/17/2021 3:13:44 PM,68.1,23.7,12
3/17/2021 3:14:44 PM,60.5,22.1,11.7
3/17/2021 3:15:44 PM,61.6,24,12.1
3/17/2021 3:16:44 PM,66.1,22.8,12.6
3/17/2021 3:17:44 PM,72.8,28,14.4
3/17/2021 3:18:44 PM,68.7,28.1,15.3
3/17/2021 3:19:44 PM,64.9,25.2,13.9
3/17/2021 3:20:44 PM,67.5,22.1,10.6
3/17/2021 3:21:44 PM,61.9,22.9,10.9
3/17/2021 3:22:44 PM,73.1,25,10.9
3/17/2021 3:23:44 PM,60.1,21.1,10.3
3/17/2021 3:24:44 PM,62.1,23.5,10.8
3/17/2021 3:25:44 PM,60.2,21.3,10.3
3/17/2021 3:26:44 PM,66.7,20.6,10.2
3/17/2021 3:27:44 PM,56.3,20.8,10.2
3/17/2021 3:28:44 PM,68.7,25.7,10.9
3/17/2021 3:29:44 PM,71.8,24.5,10.8
3/17/2021 3:30:44 PM,69.8,23.4,10.8
3/17/2021 3:31:44 PM,76.8,23.7,11
3/17/2021 3:32:44 PM,79.5,25.4,11.1
3/17/2021 3:33:44 PM,65.4,22.7,10.5
3/17/2021 3:34:44 PM,70.3,22.1,10.3
3/17/2021 3:35:44 PM,66.9,21.9,10.6
3/17/2021 3:36:44 PM,65.6,22.1,10.6
3/17/2021 3:37:44 PM,75.8,24.5,10.8
3/17/2021 3:38:44 PM,76.5,21.7,10.7
3/17/2021 3:39:44 PM,64.5,20.8,9.6
3/17/2021 3:40:44 PM,70.2,24.1,11.3
3/17/2021 3:41:44 PM,66.2,22.5,10.9
3/17/2021 3:42:44 PM,74.3,23.7,10.7
3/17/2021 3:43:44 PM,68.6,22.4,10.4
3/17/2021 3:44:44 PM,61.8,21.2,9.8
3/17/2021 3:45:44 PM,67.8,24.3,11
3/17/2021 3:46:44 PM,73.3,24.8,11.2
3/17/2021 3:47:44 PM,71.4,21.6,10.8
3/17/2021 3:48:44 PM,74.9,24.4,11.4
3/17/2021 3:49:44 PM,69,23.3,10.9
3/17/2021 3:50:44 PM,70.7,24.5,11
3/17/2021 3:51:44 PM,91.3,27.6,12.2
3/17/2021 3:52:44 PM,67.7,23.7,11
3/17/2021 3:53:44 PM,63.8,23.7,10.7
3/17/2021 3:54:44 PM,84.8,25.6,11.7
3/17/2021 3:55:44 PM,73.9,23.1,10.7
3/17/2021 3:56:44 PM,69.3,23.1,10.7
3/17/2021 3:57:44 PM,63.5,24,11
3/17/2021 3:58:44 PM,68.2,23.1,11.1
3/17/2021 3:59:44 PM,67.9,23.2,11
