time2,OAPM10,OAPM2.5,OAPM1
3/18/2021 1:35:33 PM,111.6,63.9,46.7
3/18/2021 1:36:33 PM,107.7,63.8,47.1
3/18/2021 1:37:33 PM,110.4,64.2,46.6
3/18/2021 1:38:33 PM,113.4,63.7,46.8
3/18/2021 1:39:33 PM,109.7,64.3,46.8
3/18/2021 1:40:33 PM,110.8,63.5,47
3/18/2021 1:41:33 PM,100.3,60.8,45.1
3/18/2021 1:42:33 PM,110.5,62.4,45
3/18/2021 1:43:33 PM,109,63.2,46.9
3/18/2021 1:44:33 PM,103.6,60.4,43.1
3/18/2021 1:45:33 PM,115.9,65.3,47.3
3/18/2021 1:46:33 PM,100.9,60.2,44.3
3/18/2021 1:47:33 PM,107.1,62,46.2
3/18/2021 1:48:33 PM,101.8,58.9,43.1
3/18/2021 1:49:33 PM,108.6,61.6,43.7
3/18/2021 1:50:33 PM,107.1,61,43.9
3/18/2021 1:51:33 PM,106,59.6,45.2
3/18/2021 1:52:33 PM,94,56.7,42.8
3/18/2021 1:53:33 PM,101.4,63,47.1
3/18/2021 1:54:33 PM,106.1,61.6,45.9
3/18/2021 1:55:33 PM,101.7,64.2,45.9
3/18/2021 1:56:33 PM,104.7,64.7,47
3/18/2021 1:57:33 PM,105.4,64.7,46.5
3/18/2021 1:58:33 PM,112.5,64.7,47
3/18/2021 1:59:33 PM,103.4,63.7,46.2
3/18/2021 2:00:33 PM,112.3,61.2,45.4
3/18/2021 2:01:33 PM,117.7,61.8,45.1
3/18/2021 2:02:33 PM,129.3,63,45.8
3/18/2021 2:03:33 PM,113.7,65.5,46.4
3/18/2021 2:04:33 PM,102.2,62.5,45
3/18/2021 2:05:33 PM,113.1,64.8,46
3/18/2021 2:06:33 PM,114.7,61.2,44.8
3/18/2021 2:07:33 PM,105.4,59.5,43.9
3/18/2021 2:08:33 PM,103.6,63.4,45.7
3/18/2021 2:09:33 PM,104.7,62.3,44.9
3/18/2021 2:10:33 PM,106.8,60.7,45.6
3/18/2021 2:11:33 PM,97.7,57.4,42.8
3/18/2021 2:12:33 PM,103.1,59.1,42.9
3/18/2021 2:13:33 PM,112.3,61.2,45
3/18/2021 2:14:33 PM,104.1,60.3,44.1
3/18/2021 2:15:33 PM,101.5,60.4,45.3
3/18/2021 2:16:33 PM,115.8,62.4,43.2
3/18/2021 2:17:33 PM,104,57.5,42.3
3/18/2021 2:18:33 PM,117.8,60.2,42.3
3/18/2021 2:19:33 PM,143.4,69.8,46.6
3/18/2021 2:20:33 PM,141.6,63.2,44
3/18/2021 2:21:33 PM,111.7,61.2,44.1
3/18/2021 2:22:33 PM,104.9,58.3,43.9
3/18/2021 2:23:33 PM,102.6,58.5,43.5
3/18/2021 2:24:33 PM,115.1,64.3,44.7
3/18/2021 2:25:33 PM,108.4,63,46.5
3/18/2021 2:26:33 PM,99.7,60.2,43.9
3/18/2021 2:27:33 PM,103.5,62.2,45.2
3/18/2021 2:28:33 PM,96.9,60.1,43.3
3/18/2021 2:29:33 PM,96.4,54.8,41.3
3/18/2021 2:30:33 PM,103.6,62,45.6
3/18/2021 2:31:33 PM,105.4,60.9,45.6
3/18/2021 2:32:33 PM,110.1,62,45.1
3/18/2021 2:33:33 PM,96.7,56.6,41.2
3/18/2021 2:34:33 PM,111.4,60.5,44.4
3/18/2021 2:35:33 PM,113.4,62.8,44.5
3/18/2021 2:36:33 PM,107.5,62.4,44.9
3/18/2021 2:37:33 PM,116.5,62.8,45.7
3/18/2021 2:38:33 PM,113.2,58,41.9
3/18/2021 2:39:33 PM,104.6,60.7,45.2
3/18/2021 2:40:33 PM,94.1,55.7,40.6
3/18/2021 2:41:33 PM,109.4,60.6,45.5
3/18/2021 2:42:33 PM,113.5,56.6,43
3/18/2021 2:43:33 PM,95.4,58,42.3
3/18/2021 2:44:33 PM,96.8,58.6,43.3
3/18/2021 2:45:33 PM,109.3,61.9,44.5
3/18/2021 2:46:33 PM,104.3,64.2,46.8
3/18/2021 2:47:33 PM,100.9,59.2,43.5
3/18/2021 2:48:33 PM,99.4,62.4,45.4
3/18/2021 2:49:33 PM,97.5,56,40.4
3/18/2021 2:50:33 PM,89.7,54.2,39.3
3/18/2021 2:51:33 PM,103.2,60.4,43
3/18/2021 2:52:33 PM,108.9,59.4,43.7
3/18/2021 2:53:33 PM,107.3,60.7,43.2
3/18/2021 2:54:33 PM,100.8,57,42.1
3/18/2021 2:55:33 PM,97,61.3,43.6
3/18/2021 2:56:33 PM,101.2,59.7,42.9
3/18/2021 2:57:33 PM,111.3,60.6,42.7
3/18/2021 2:58:33 PM,104,59.3,41.7
3/18/2021 2:59:33 PM,100.5,59.8,43.5
3/18/2021 3:00:33 PM,105.9,61.5,42.4
3/18/2021 3:01:33 PM,103.9,60.4,43.1
3/18/2021 3:02:33 PM,106.5,60.7,43.4
3/18/2021 3:03:33 PM,111,62.7,44.4
3/18/2021 3:04:33 PM,100.7,57.2,41.3
3/18/2021 3:05:33 PM,97.9,58.1,42.5
