time2,OAPM10,OAPM2.5,OAPM1
3/18/2021 10:15:33 AM,129.7,72.6,53.9
3/18/2021 10:16:33 AM,134.8,67.7,51.5
3/18/2021 10:17:33 AM,123.7,74,54.8
3/18/2021 10:18:33 AM,132.7,72.5,53.6
3/18/2021 10:19:33 AM,134.1,73.6,54.7
3/18/2021 10:20:33 AM,128.9,70.6,52.6
3/18/2021 10:21:33 AM,122.1,70.4,53.1
3/18/2021 10:22:33 AM,127.1,70.7,52.8
3/18/2021 10:23:33 AM,164.5,76.3,54.2
3/18/2021 10:24:33 AM,127,69.4,51.4
3/18/2021 10:25:33 AM,126.7,68.2,51.2
3/18/2021 10:26:33 AM,131.8,68.8,51.8
3/18/2021 10:27:33 AM,133.5,72.3,51.7
3/18/2021 10:28:33 AM,125.3,69,51
3/18/2021 10:29:33 AM,114.4,62,46.3
3/18/2021 10:30:33 AM,120.2,68,51.3
3/18/2021 10:31:33 AM,135.4,70.4,51.3
3/18/2021 10:32:33 AM,118.6,68.7,49
3/18/2021 10:33:33 AM,128.2,69.5,49.3
3/18/2021 10:34:33 AM,119.5,70.2,49.9
3/18/2021 10:35:33 AM,126,67.4,49.2
3/18/2021 10:36:33 AM,116.7,67.4,49.1
3/18/2021 10:37:33 AM,121.6,66.3,48.6
3/18/2021 10:38:33 AM,125,68.8,50.1
3/18/2021 10:39:33 AM,123.6,66.6,48.7
3/18/2021 10:40:33 AM,118.1,68.5,50.3
3/18/2021 10:41:33 AM,123.2,69.7,50.3
3/18/2021 10:42:33 AM,123.5,67,48.6
3/18/2021 10:43:33 AM,125.3,68.2,48.3
3/18/2021 10:44:33 AM,113,62.7,45.7
3/18/2021 10:45:33 AM,117.1,66.3,47.9
3/18/2021 10:46:33 AM,122.5,66.2,48.5
3/18/2021 10:47:33 AM,120.1,67.9,48.6
3/18/2021 10:48:33 AM,121.3,68.1,49
3/18/2021 10:49:33 AM,119.5,69,49.1
3/18/2021 10:50:33 AM,121.9,68.9,49.5
3/18/2021 10:51:33 AM,119.3,66,48.6
3/18/2021 10:52:33 AM,116.3,65.9,48.4
3/18/2021 10:53:33 AM,116.3,68.6,49.6
3/18/2021 10:54:33 AM,119.4,69.1,48.6
