time1,CAPM10,CAPM2.5,CAPM1,RAPM10,RAPM2.5,RAPM1
17/03/2021 14:30:03,25,18.1,12.6,14.7,13.9,11
17/03/2021 14:30:09,28.6,19.5,12.6,17.8,16.1,11.2
17/03/2021 14:30:15,24.7,16.4,12.2,13.6,12.2,10.7
17/03/2021 14:30:21,31.4,19.3,12.3,14.5,14,11.2
17/03/2021 14:30:27,23.3,16.3,12,13.2,12.8,11.2
17/03/2021 14:30:33,20.4,15.6,12,14.1,13.8,11.4
17/03/2021 14:30:39,24.4,19.7,12.2,14,13.6,11.2
17/03/2021 14:30:45,36.3,16,12.6,14.6,14.1,11.3
17/03/2021 14:30:51,26.5,19.3,12.6,16.3,15.4,11.1
17/03/2021 14:30:57,27.6,18.6,12.6,15,14.6,11.3
17/03/2021 14:31:03,38.5,16.3,12.5,13.5,13,11.2
17/03/2021 14:31:09,29.9,19.4,12.7,14.6,13.7,11.5
17/03/2021 14:31:15,22.1,15.8,11.5,12.8,12.8,11.8
17/03/2021 14:31:21,39.1,19.9,12.9,12,11.5,10
17/03/2021 14:31:27,30.8,19.6,12.8,10.5,10.5,9.7
17/03/2021 14:31:33,26.2,19.4,12.7,11.7,11.7,10
17/03/2021 14:31:39,28.8,17.7,12.3,11.3,11.1,10.1
17/03/2021 14:31:45,22,14.3,11.9,10.7,10.7,10.4
17/03/2021 14:31:51,29.4,17.9,12.4,11.3,11.1,10.4
17/03/2021 14:31:57,26.4,18.5,11.8,11.1,11.1,10.2
17/03/2021 14:32:03,24.6,16,11.9,10.2,10.2,9.6
17/03/2021 14:32:09,29.4,19.3,12.3,11.3,11.1,10.5
17/03/2021 14:32:15,26.1,17.8,12.1,10.2,10.2,9.8
17/03/2021 14:32:21,23.8,18.6,11.9,10.5,10.5,9.5
17/03/2021 14:32:27,39.9,18.2,11.9,12,11.7,10.1
17/03/2021 14:32:33,32.6,18.6,11.7,10,10,9.5
17/03/2021 14:32:39,27.6,21.5,11.7,10.6,10.6,10
17/03/2021 14:32:45,33.2,19,12.5,10.2,10.2,9.8
17/03/2021 14:32:51,28.2,21.5,12.2,10.4,10.4,9.8
17/03/2021 14:32:57,34.2,20.7,12.1,10.2,10.2,9.6
17/03/2021 14:33:03,40.1,19.1,12.3,11.2,11.1,9.8
17/03/2021 14:33:09,34.4,18.1,11.5,10.5,10.2,9
17/03/2021 14:33:15,25.8,14.9,11.2,11.2,11.1,9.7
17/03/2021 14:33:21,27.6,18.4,11.8,10.7,10.6,9.9
17/03/2021 14:33:27,27.9,16.3,11.8,10.2,10.1,9.7
17/03/2021 14:33:33,27.9,17.7,12.1,9.1,9.1,9
17/03/2021 14:33:39,28,16.6,11.3,11.8,11.2,10.1
17/03/2021 14:33:45,27.9,20.9,12.2,11,10.6,9.9
17/03/2021 14:33:51,30.2,20.4,11.7,9.6,9.6,9.4
17/03/2021 14:33:57,26.5,15.1,11.2,9.5,9.5,9.3
17/03/2021 14:34:03,31.8,16.4,11.1,10,10,9.8
17/03/2021 14:34:09,25.2,14,10.3,9.1,9.1,8.9
17/03/2021 14:34:15,34.7,16.1,10.3,9.9,9.9,9.5
17/03/2021 14:34:21,15.1,12.1,10.1,10.1,10.1,9.5
17/03/2021 14:34:27,25.7,13.7,10.5,9.2,9.2,8.9
17/03/2021 14:34:33,22.5,16.2,10.5,9.6,9.6,9.5
17/03/2021 14:34:39,24.3,14.6,10.2,9.8,9.8,9.4
17/03/2021 14:34:45,22.8,13.1,10.1,9.5,9.5,9.2
17/03/2021 14:34:51,18.8,14.4,10.1,8.7,8.7,8.5
17/03/2021 14:34:57,24.8,14.8,9.7,9.4,9.4,8.9
17/03/2021 14:35:03,18.8,14.8,10.1,9.1,9.1,9
17/03/2021 14:35:09,16.7,15.4,9.3,9.2,9.2,9.1
17/03/2021 14:35:15,22.7,15.1,10.1,9.5,9.5,9.1
17/03/2021 14:35:21,20.1,13.7,10.2,9.4,9.3,8.8
17/03/2021 14:35:27,24.6,13.8,9.8,10.2,9.7,9
17/03/2021 14:35:33,16.8,13.8,9.8,9.9,9.6,8.7
17/03/2021 14:35:39,22.9,14.4,9.8,9.4,9.4,9.3
17/03/2021 14:35:45,20.4,15.6,9.7,9.5,9.5,8.8
