time2,OAPM10,OAPM2.5,OAPM1
3/17/2021 9:17:44 AM,156.2,44.4,18
3/17/2021 9:18:44 AM,146.1,41,18.1
3/17/2021 9:19:44 AM,133.6,41.5,18.1
3/17/2021 9:20:44 AM,131.7,40.7,18.4
3/17/2021 9:21:44 AM,133.6,40.3,18
3/17/2021 9:22:44 AM,135.6,41.5,18.1
3/17/2021 9:23:44 AM,136.8,42.9,18.4
3/17/2021 9:24:44 AM,134.4,40.7,17.7
3/17/2021 9:25:44 AM,130.6,39,17.9
3/17/2021 9:26:44 AM,141.5,40.2,17.7
3/17/2021 9:27:44 AM,133.3,40,17.5
3/17/2021 9:28:44 AM,144.1,42.7,18.7
3/17/2021 9:29:44 AM,139.4,39.1,18.2
3/17/2021 9:30:44 AM,132.5,42.2,18.2
3/17/2021 9:31:44 AM,145,41.4,17.8
3/17/2021 9:32:44 AM,142.2,39.1,17.7
3/17/2021 9:33:44 AM,149.2,43.8,18
3/17/2021 9:34:44 AM,142.8,38.1,17
3/17/2021 9:35:44 AM,136.9,39.4,17.2
3/17/2021 9:36:44 AM,134.9,40.3,17.7
3/17/2021 9:37:44 AM,145.2,40.6,17.5
3/17/2021 9:38:44 AM,146.7,40,17.5
3/17/2021 9:39:44 AM,146.4,41,17.5
3/17/2021 9:40:44 AM,142.1,39.8,17.5
3/17/2021 9:41:44 AM,147.7,42.3,17.8
3/17/2021 9:42:44 AM,138.7,41.2,17.8
3/17/2021 9:43:44 AM,137.9,40.5,17.8
3/17/2021 9:44:44 AM,148.1,42.9,18.3
3/17/2021 9:45:44 AM,144.7,40.5,17.9
3/17/2021 9:46:44 AM,141.1,39.8,17.8
3/17/2021 9:47:44 AM,136.5,40.9,17.8
3/17/2021 9:48:44 AM,143.8,42.5,18
3/17/2021 9:49:44 AM,146.9,40.6,17.7
3/17/2021 9:50:44 AM,134.3,40.2,17.7
3/17/2021 9:51:44 AM,134.1,41.5,17.6
3/17/2021 9:52:44 AM,139.8,38.9,17.7
3/17/2021 9:53:44 AM,149.6,41,17.2
3/17/2021 9:54:44 AM,128.3,40,16.8
3/17/2021 9:55:44 AM,142.3,40.2,16.8
3/17/2021 9:56:44 AM,142.7,38.3,16.4
3/17/2021 9:57:44 AM,145.7,38.1,16.3
3/17/2021 9:58:44 AM,141.5,38.3,16.3
3/17/2021 9:59:44 AM,142.8,39.5,16.2
3/17/2021 10:00:44 AM,147.3,39.4,15.7
3/17/2021 10:01:44 AM,141.8,39.5,16.1
3/17/2021 10:02:44 AM,140.8,38.4,15.6
3/17/2021 10:03:44 AM,140.8,39.6,15.8
3/17/2021 10:04:44 AM,143.2,37.4,16
3/17/2021 10:05:44 AM,142.7,38.9,16.1
3/17/2021 10:06:44 AM,130.3,40.9,16.1
3/17/2021 10:07:44 AM,136.4,38.4,16.5
