time2,OAPM10,OAPM2.5,OAPM1
3/18/2021 8:45:33 AM,116.4,51.6,34.8
3/18/2021 8:46:33 AM,117.7,53.7,35.7
3/18/2021 8:47:33 AM,123.8,53.6,35.6
3/18/2021 8:48:33 AM,127.4,54.6,36.2
3/18/2021 8:49:33 AM,111.2,52.4,36.1
3/18/2021 8:50:33 AM,104.6,52.7,36.4
3/18/2021 8:51:33 AM,115.2,54.3,36.8
3/18/2021 8:52:33 AM,116.5,52.3,36.8
3/18/2021 8:53:33 AM,111.8,53.6,37
3/18/2021 8:54:33 AM,113.5,55.1,37.5
3/18/2021 8:55:33 AM,114.5,54.6,37.3
3/18/2021 8:56:33 AM,116.6,55.1,37.4
3/18/2021 8:57:33 AM,113.3,53.9,38.3
3/18/2021 8:58:33 AM,109.1,56.3,38.5
3/18/2021 8:59:33 AM,109.6,56.8,38.4
3/18/2021 9:00:33 AM,112.8,54.8,38.8
3/18/2021 9:01:33 AM,117.9,54.8,38.3
3/18/2021 9:02:33 AM,114.9,55.5,38.2
3/18/2021 9:03:33 AM,117.3,56.1,38.5
3/18/2021 9:04:33 AM,113.2,55.3,38.9
3/18/2021 9:05:33 AM,115.6,56.4,39.1
3/18/2021 9:06:33 AM,107.9,58.1,40.7
3/18/2021 9:07:33 AM,113.5,57.8,41.5
3/18/2021 9:08:33 AM,117.3,60,42.2
3/18/2021 9:09:33 AM,127.4,58.9,42.5
3/18/2021 9:10:33 AM,127.9,60.1,41.9
3/18/2021 9:11:33 AM,115.3,60.2,42.7
3/18/2021 9:12:33 AM,115.8,60.6,43
3/18/2021 9:13:33 AM,122.3,59.8,43.1
3/18/2021 9:14:33 AM,105.7,58.7,43.1
3/18/2021 9:15:33 AM,118.8,62.6,44.9
3/18/2021 9:16:33 AM,115.5,60.5,43.7
3/18/2021 9:17:33 AM,114,62.3,45.1
3/18/2021 9:18:33 AM,127.6,64.2,46.4
3/18/2021 9:19:33 AM,124.2,64.9,46.2
3/18/2021 9:20:33 AM,121,62,46.2
3/18/2021 9:21:33 AM,128.8,62.6,47.3
3/18/2021 9:22:33 AM,123.6,64.5,47.1
3/18/2021 9:23:33 AM,129.8,66.3,47.6
3/18/2021 9:24:33 AM,124.2,66.8,48.6
3/18/2021 9:25:33 AM,127.8,65.4,48.7
3/18/2021 9:26:33 AM,130.1,68,48.5
3/18/2021 9:27:33 AM,131.6,69,49.8
3/18/2021 9:28:33 AM,129.4,67,48.8
3/18/2021 9:29:33 AM,124.1,70.4,49.3
3/18/2021 9:30:33 AM,133.5,68.4,49.6
3/18/2021 9:31:33 AM,127.4,66.9,49.9
3/18/2021 9:32:33 AM,131.6,69,50.6
3/18/2021 9:33:33 AM,132.7,68.7,51.2
3/18/2021 9:34:33 AM,130.9,69.5,51.2
3/18/2021 9:35:33 AM,123.3,69.2,52
3/18/2021 9:36:33 AM,128,69.1,52.1
3/18/2021 9:37:33 AM,127.6,73,52.7
