time2,OAPM10,OAPM2.5,OAPM1
3/17/2021 11:00:44 AM,143,43.8,19.8
3/17/2021 11:01:44 AM,131.2,42.1,20
3/17/2021 11:02:44 AM,146.8,43.1,19.5
3/17/2021 11:03:44 AM,144.7,42,19.3
3/17/2021 11:04:44 AM,127.1,40.9,19.1
3/17/2021 11:05:44 AM,174.2,50.3,22.4
3/17/2021 11:06:44 AM,147.2,42.9,19.5
3/17/2021 11:07:44 AM,128.7,41,19.5
3/17/2021 11:08:44 AM,137.6,42.4,19.2
3/17/2021 11:09:44 AM,135.2,42.4,19.2
3/17/2021 11:10:44 AM,144.2,43.5,19.7
3/17/2021 11:11:44 AM,147.4,39.6,19.5
3/17/2021 11:12:44 AM,113.9,39.3,19.2
3/17/2021 11:13:44 AM,149.2,43.6,20.9
3/17/2021 11:14:44 AM,131.6,39.3,18.7
3/17/2021 11:15:44 AM,131.1,41,18.4
3/17/2021 11:16:44 AM,135.8,43.4,19.4
3/17/2021 11:17:44 AM,160,42.8,20.2
3/17/2021 11:18:44 AM,157.3,45.1,22.6
3/17/2021 11:19:44 AM,157.1,48.2,22.5
3/17/2021 11:20:44 AM,159.3,40.3,20
3/17/2021 11:21:44 AM,122,36,18.8
3/17/2021 11:22:44 AM,139.1,41.5,20
3/17/2021 11:23:44 AM,125.4,40,19.2
3/17/2021 11:24:44 AM,120,39.9,18.9
3/17/2021 11:25:44 AM,128.5,40.4,19.8
3/17/2021 11:26:44 AM,141.8,43.1,20.3
3/17/2021 11:27:44 AM,144.7,43,20.5
3/17/2021 11:28:44 AM,131.8,42.5,20.3
3/17/2021 11:29:44 AM,122.4,44.4,20.3
3/17/2021 11:30:44 AM,130.3,40.4,19.9
3/17/2021 11:31:44 AM,140.5,42.9,20.7
3/17/2021 11:32:44 AM,139.9,42.2,20.4
3/17/2021 11:33:44 AM,149.5,45.4,20.7
3/17/2021 11:34:44 AM,158,44.2,20.7
3/17/2021 11:35:44 AM,126.8,43.2,20.1
3/17/2021 11:36:44 AM,142,46.8,21.6
3/17/2021 11:37:44 AM,146.4,46.2,21.8
3/17/2021 11:38:44 AM,134.2,42.7,21.1
3/17/2021 11:39:44 AM,142.3,47.3,21.2
3/17/2021 11:40:44 AM,129.6,43.9,20.6
3/17/2021 11:41:44 AM,137.9,45,20.9
3/17/2021 11:42:44 AM,144.9,43.7,20.7
3/17/2021 11:43:44 AM,143,43.5,20.4
3/17/2021 11:44:44 AM,124.8,41.2,19.4
3/17/2021 11:45:44 AM,149.4,45.3,20.9
3/17/2021 11:46:44 AM,139.4,43.1,20.5
3/17/2021 11:47:44 AM,132.8,44,20.6
3/17/2021 11:48:44 AM,132.2,42.2,20.3
3/17/2021 11:49:44 AM,139.9,43.6,20.5
3/17/2021 11:50:44 AM,144.3,43.8,21.3
3/17/2021 11:51:44 AM,121.3,39.3,20
3/17/2021 11:52:44 AM,141.5,43.9,20.5
3/17/2021 11:53:44 AM,134.7,44.3,20.5
3/17/2021 11:54:44 AM,144.1,43.9,20.9
3/17/2021 11:55:44 AM,122.3,41.1,19.4
3/17/2021 11:56:44 AM,115,39.9,19.5
3/17/2021 11:57:44 AM,143.6,43.7,20.4
3/17/2021 11:58:44 AM,143.4,42.7,20.8
3/17/2021 11:59:44 AM,135.2,41.9,20
3/17/2021 12:00:44 PM,134.2,41.2,20.2
3/17/2021 12:01:44 PM,130.7,40.8,19.7
3/17/2021 12:02:44 PM,128.2,40.1,20.1
3/17/2021 12:03:44 PM,138.1,45.6,23
3/17/2021 12:04:44 PM,126.7,45.7,23.5
3/17/2021 12:05:44 PM,130.1,42.7,20.1
3/17/2021 12:06:44 PM,124.9,42.2,21.3
3/17/2021 12:07:44 PM,113.4,41.9,19.8
3/17/2021 12:08:44 PM,123.6,39.9,19.4
3/17/2021 12:09:44 PM,130.8,41,21.2
3/17/2021 12:10:44 PM,147,44.3,20.9
3/17/2021 12:11:44 PM,138.4,43,20.2
3/17/2021 12:12:44 PM,136.7,42.9,21.6
3/17/2021 12:13:44 PM,119.7,41.2,19.4
3/17/2021 12:14:44 PM,124.7,42.9,20.5
3/17/2021 12:15:44 PM,121.9,39.5,19.5
3/17/2021 12:16:44 PM,141.5,41.6,20.1
3/17/2021 12:17:44 PM,129.8,40.7,19.7
3/17/2021 12:18:44 PM,133.2,39.8,19.8
3/17/2021 12:19:44 PM,123.1,41.6,19.6
3/17/2021 12:20:44 PM,126.1,38.8,18.7
3/17/2021 12:21:44 PM,122.8,43.4,20.2
3/17/2021 12:22:44 PM,132.8,40.3,20.5
3/17/2021 12:23:44 PM,127.6,41.2,19.9
3/17/2021 12:24:44 PM,121.3,39.2,19.6
3/17/2021 12:25:44 PM,122.8,38.9,18.6
3/17/2021 12:26:44 PM,113.5,37.4,18.2
3/17/2021 12:27:44 PM,123.1,41,19.5
3/17/2021 12:28:44 PM,119.6,39.6,18.9
3/17/2021 12:29:44 PM,116.6,39.5,18.9
