time2,OAPM10,OAPM2.5,OAPM1
3/23/2021 2:00:18 PM,37.2,17.5,13.1
3/23/2021 2:01:18 PM,35.5,17.5,13.1
3/23/2021 2:02:18 PM,31.6,17.9,13.6
3/23/2021 2:03:18 PM,31.1,16,13
3/23/2021 2:04:18 PM,28.7,17.7,13
3/23/2021 2:05:18 PM,29.3,17.4,13.1
3/23/2021 2:06:18 PM,27.3,17,12.8
3/23/2021 2:07:18 PM,31.1,17.3,12.8
3/23/2021 2:08:18 PM,32.9,17.6,12.9
3/23/2021 2:09:18 PM,30.8,16.6,13.1
3/23/2021 2:10:18 PM,33.4,17.8,13.6
3/23/2021 2:11:18 PM,34.2,17.8,13.4
3/23/2021 2:12:18 PM,37.8,18.1,13
3/23/2021 2:13:18 PM,39.1,17.9,13.4
3/23/2021 2:14:18 PM,34.1,17.7,13.3
3/23/2021 2:15:18 PM,34.7,19.1,14
3/23/2021 2:16:18 PM,32.8,16.4,13.1
3/23/2021 2:17:18 PM,32.9,17.1,13.2
3/23/2021 2:18:18 PM,29.5,17.3,13.3
3/23/2021 2:19:18 PM,33.2,18.5,13.7
3/23/2021 2:20:18 PM,31.6,17.7,12.9
3/23/2021 2:21:18 PM,31.2,17.1,12.9
3/23/2021 2:22:18 PM,31.5,17.9,13
3/23/2021 2:23:18 PM,26.5,16.6,12.8
3/23/2021 2:24:18 PM,31.8,17,12.9
3/23/2021 2:25:18 PM,32,17.1,13.3
3/23/2021 2:26:18 PM,34.1,18.2,13.4
3/23/2021 2:27:18 PM,31.7,19.4,14.7
3/23/2021 2:28:18 PM,35.4,17.9,13.3
3/23/2021 2:29:18 PM,38.5,19.7,14.8
3/23/2021 2:30:18 PM,32.7,18,14.5
3/23/2021 2:31:18 PM,34.2,19.3,14.8
3/23/2021 2:32:18 PM,32.4,18.9,13.7
3/23/2021 2:33:18 PM,30.7,17.5,13.6
3/23/2021 2:34:18 PM,37.6,19.6,14
3/23/2021 2:35:18 PM,29.4,17.3,13.4
3/23/2021 2:36:18 PM,30.4,18.5,13.3
3/23/2021 2:37:18 PM,32.9,18.9,13.8
3/23/2021 2:38:18 PM,35.2,18.2,14
3/23/2021 2:39:18 PM,29.3,17.7,13.3
3/23/2021 2:40:18 PM,36.7,18.9,14.2
3/23/2021 2:41:18 PM,33.5,16.9,13.5
3/23/2021 2:42:18 PM,30.5,17.8,13.6
3/23/2021 2:43:18 PM,31.8,18.7,13.2
3/23/2021 2:44:18 PM,32.9,17.6,13.6
3/23/2021 2:45:18 PM,35.4,18.9,13.8
3/23/2021 2:46:18 PM,35.1,19.8,14.9
3/23/2021 2:47:18 PM,37.2,19.7,14.1
3/23/2021 2:48:18 PM,33.7,18,13.8
3/23/2021 2:49:18 PM,32.2,17.5,13.5
3/23/2021 2:50:18 PM,37.1,19.2,14.1
3/23/2021 2:51:18 PM,32.7,18.9,14.1
3/23/2021 2:52:18 PM,37.6,18.5,13.9
3/23/2021 2:53:18 PM,33.2,19.1,14.1
3/23/2021 2:54:18 PM,37.8,19.4,14
3/23/2021 2:55:18 PM,33,19.2,14.3
3/23/2021 2:56:18 PM,31.8,18.9,14.8
3/23/2021 2:57:18 PM,30.9,19.5,14.5
3/23/2021 2:58:18 PM,32.8,19.5,15
3/23/2021 2:59:18 PM,33.4,20.3,15.1
3/23/2021 3:00:18 PM,36.1,19.7,14.9
3/23/2021 3:01:18 PM,34.9,19.9,15.6
3/23/2021 3:02:18 PM,36.6,19.7,15.3
3/23/2021 3:03:18 PM,34.3,21.8,16.4
3/23/2021 3:04:18 PM,38.8,20.8,15.8
3/23/2021 3:05:18 PM,36.9,19.5,15.4
3/23/2021 3:06:18 PM,34.5,18.8,15.7
3/23/2021 3:07:18 PM,35.3,20.1,15.8
3/23/2021 3:08:18 PM,36.9,20.6,15.9
3/23/2021 3:09:18 PM,36.8,22.5,17
3/23/2021 3:10:18 PM,35.2,22.2,16.3
3/23/2021 3:11:18 PM,42.1,21.4,16.3
3/23/2021 3:12:18 PM,40.5,21.4,16.2
3/23/2021 3:13:18 PM,40,22.4,16.3
3/23/2021 3:14:18 PM,34.9,20.6,15.4
3/23/2021 3:15:18 PM,30.8,18.9,15.5
3/23/2021 3:16:18 PM,32.5,19.8,15.7
3/23/2021 3:17:18 PM,37.4,20.4,15.9
3/23/2021 3:18:18 PM,35.9,20.8,15.9
3/23/2021 3:19:18 PM,37.5,22.8,16.4
3/23/2021 3:20:18 PM,33.9,20.4,16.2
3/23/2021 3:21:18 PM,36.3,21.3,16.3
3/23/2021 3:22:18 PM,42.5,21.9,16.7
3/23/2021 3:23:18 PM,33.2,19.7,15.9
3/23/2021 3:24:18 PM,35.5,20.8,16.2
3/23/2021 3:25:18 PM,37.8,20.7,16.1
3/23/2021 3:26:18 PM,35.3,20.9,16.2
3/23/2021 3:27:18 PM,32.6,21.5,16.7
3/23/2021 3:28:18 PM,35,21,16.1
3/23/2021 3:29:18 PM,36.9,21.1,16.2
3/23/2021 3:30:18 PM,34,19.7,16.2
